Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,UNDER 1,271,2%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,UNDER 1,349,2.5%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,UNDER 10,5035,37.5%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,UNDER 10,5160,36.2%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,UNDER 15,7082,52.8%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,UNDER 15,7341,51.6%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,UNDER 5,2512,18.7%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,UNDER 5,2540,17.8%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,05 - 24,6665,48.9%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,05 - 24,6860,48.2%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Tgend,05 - 24,1,20%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,15 - 49,6029,44.2%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,15 - 49,6422,45.1%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Tgend,15 - 49,5,100%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,15 - 64,6798,49.9%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,15 - 64,7368,51.7%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Tgend,15 - 64,5,100%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,18 - 60,5807,42.6%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,18 - 60,6283,44.1%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Tgend,18 - 60,4,80%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,18 &  ABOVE,6291,46.1%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,18 &  ABOVE,6868,48.2%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Tgend,18 &  ABOVE,4,80%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,60 &  ABOVE,547,4%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,60 &  ABOVE,664,4.7%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,65 &  ABOVE,369,2.7%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,65 &  ABOVE,404,2.8%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,UNDER 1,220,1.6%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,UNDER 1,192,1.3%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,UNDER 10,4526,33.2%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,UNDER 10,4366,30.7%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,UNDER 15,6468,47.4%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,UNDER 15,6470,45.4%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Female,UNDER 5,2293,16.8%
Balochistan,Rural,Awaran,Mashkai,TEHSIL,Male,UNDER 5,2197,15.4%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,05 - 24,45559,48.7%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,05 - 24,51895,50.8%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Tgend,05 - 24,6,85.7%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,15 - 49,34436,36.8%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,15 - 49,36986,36.2%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Tgend,15 - 49,4,57.1%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,15 - 64,39757,42.5%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,15 - 64,42470,41.5%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Tgend,15 - 64,5,71.4%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,18 - 60,33956,36.3%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,18 - 60,35482,34.7%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Tgend,18 - 60,2,28.6%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,18 &  ABOVE,37654,40.2%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,18 &  ABOVE,39382,38.5%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Tgend,18 &  ABOVE,2,28.6%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,60 &  ABOVE,4002,4.3%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,60 &  ABOVE,4238,4.1%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,65 &  ABOVE,2694,2.9%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,65 &  ABOVE,2763,2.7%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,UNDER 1,2964,3.2%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,UNDER 1,3053,3%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,UNDER 10,38128,40.7%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,UNDER 10,41744,40.8%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,UNDER 15,51140,54.6%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,UNDER 15,56993,55.8%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Tgend,UNDER 15,2,28.6%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Female,UNDER 5,19852,21.2%
Balochistan,Rural,Barkhan,Barkhan,TEHSIL,Male,UNDER 5,21391,20.9%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,05 - 24,19006,52.2%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,05 - 24,19180,51.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Tgend,05 - 24,2,66.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,15 - 49,15389,42.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,15 - 49,15315,41.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Tgend,15 - 49,2,66.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,15 - 64,17003,46.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,15 - 64,17358,46.8%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Tgend,15 - 64,2,66.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,18 - 60,14463,39.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,18 - 60,14684,39.6%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Tgend,18 - 60,1,33.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,18 &  ABOVE,15334,42.1%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,18 &  ABOVE,15959,43.1%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Tgend,18 &  ABOVE,1,33.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,60 &  ABOVE,947,2.6%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,60 &  ABOVE,1367,3.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,65 &  ABOVE,621,1.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,65 &  ABOVE,893,2.4%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,UNDER 1,820,2.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,UNDER 1,774,2.1%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,UNDER 10,13497,37.1%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,UNDER 10,13455,36.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,UNDER 15,18707,51.4%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,UNDER 15,18741,50.6%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Tgend,UNDER 15,1,33.3%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Female,UNDER 5,6809,18.7%
Balochistan,Rural,Chagai,Chagai,TEHSIL,Male,UNDER 5,6615,17.8%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,05 - 24,25520,51.6%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,05 - 24,26763,50.1%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Tgend,05 - 24,1,100%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,15 - 49,20618,41.7%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,15 - 49,21518,40.3%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Tgend,15 - 49,1,100%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,15 - 64,22683,45.9%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,15 - 64,24342,45.5%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Tgend,15 - 64,1,100%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,18 - 60,18971,38.4%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,18 - 60,20335,38%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,18 &  ABOVE,20169,40.8%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,18 &  ABOVE,22042,41.2%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,60 &  ABOVE,1311,2.7%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,60 &  ABOVE,1845,3.5%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,65 &  ABOVE,856,1.7%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,65 &  ABOVE,1167,2.2%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,UNDER 1,1167,2.4%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,UNDER 1,1261,2.4%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,UNDER 10,18919,38.3%
