DISTRICT,PROVINCE,hci,fci,lap,soi,archetype_tercile,archetype_median,cluster,literacy_rate_calc,urdu_pct,dependency_ratio,electrification,flush_toilet
MOHMAND,KPK,0.305727341852779,0.485329447824568,0.312761357332457,0.33238839052468,Anchor,Anchor,4,0.312847203048208,0.000274401416777841,1.06104634938589,0.384552858237069,0.450283713441608
NOWSHERA,KPK,0.730460919080398,0.215551925291238,0.562205367274343,0.546102113051422,Vanguard,Vanguard,2,0.567840955388063,0.00992458902487715,0.766025791038459,0.939231793789987,0.908797647185631
PESHAWAR,KPK,0.668239203692432,0.246422310636463,0.52326951513445,0.51910474732355,Other,Vanguard,2,0.53284102601566,0.0179631642720553,0.788990884423681,0.917613636363636,0.904734752002964
BAHAWALNAGAR,PUNJAB,0.664654573266442,0.303919523110085,0.551032529383402,0.465035466777825,Other,Vanguard,2,0.570136689221489,0.0335080344753366,0.791999947426608,0.928924205905139,0.80018148690138
BAHAWALPUR,PUNJAB,0.607136117955827,0.253703097675207,0.504352339644481,0.496600881680858,Other,Vanguard,2,0.53354768260131,0.054719276100099,0.803000591916117,0.931230389776623,0.844753109793492
RAHIM YAR KHAN,PUNJAB,0.523587892577563,0.27780340196742,0.465346998474734,0.456585881915652,Other,Trapped,2,0.479376935374763,0.0292670253087174,0.848053880028616,0.904313724541746,0.828845312004953
DERA GHAZI KHAN,PUNJAB,0.528132655855371,0.335184397552453,0.45660238304757,0.424374449258611,Other,Trapped,2,0.467830904966465,0.0240012401910485,1.00278959081073,0.807476499788762,0.703987554569779
LAYYAH,PUNJAB,0.768584386258818,0.283550028145234,0.601313344867602,0.487553671699293,Other,Vanguard,2,0.618344607745925,0.0275433191540368,0.79840993797321,0.854554408716886,0.861962120123941
RAJANPUR,PUNJAB,0.394575573476985,0.472102859056563,0.35149949731908,0.375746167437546,Anchor,Anchor,4,0.360905323853665,0.0260617561252679,1.04968861927941,0.574010779173823,0.578527524179698
CHINIOT,PUNJAB,0.674488135914432,0.296196342317664,0.531719276446589,0.493202847825772,Other,Vanguard,2,0.550463631175422,0.0340519403412872,0.76044169175511,0.942372035345776,0.68864988808211
FAISALABAD,PUNJAB,0.814118729315123,0.175002035445222,0.70115158067367,0.612451840418099,Vanguard,Vanguard,3,0.73413970068135,0.044934390521401,0.646824778308353,0.979135404003405,0.931000966897676
TOBA TEK SINGH,PUNJAB,0.795013653036036,0.185330547300028,0.69611458594336,0.591941181239362,Vanguard,Vanguard,3,0.713842400185435,0.0248343531253813,0.682841846293345,0.966394682860451,0.896553912707923
GUJRANWALA,PUNJAB,0.84117809367611,0.0959809568324795,0.720070448913253,0.611720578065883,Vanguard,Vanguard,3,0.767747195171171,0.0620995381784335,0.723176807295846,0.985352876962047,0.967680471797988
GUJRAT,PUNJAB,0.861043376214919,0.105573105705507,0.78541265920031,0.681451326375613,Vanguard,Vanguard,3,0.813740756248364,0.0348121890547264,0.632933257915106,0.985228993515716,0.957761215685714
HAFIZABAD,PUNJAB,0.767473757369829,0.127682077772636,0.636905744356559,0.545411547900351,Vanguard,Vanguard,3,0.657668137032276,0.031569710476482,0.700370830412732,0.981171972455199,0.897178584830076
MANDI BAHAUDDIN,PUNJAB,0.773906816141558,0.1796642442505,0.67057938491053,0.562441092919309,Vanguard,Vanguard,3,0.702689914370391,0.0456965850842358,0.707007106494767,0.98048176678124,0.868582358062723
NAROWAL,PUNJAB,0.882612313932592,0.170467366331045,0.729884639174836,0.67458742054442,Vanguard,Vanguard,3,0.75283831397625,0.0304895146478132,0.717527102018751,0.987909183905433,0.941343203000682
SIALKOT,PUNJAB,0.903502601931718,0.113221987377342,0.745614247693574,0.676276570753605,Vanguard,Vanguard,3,0.783700211220835,0.0485976180457207,0.687815772352569,0.985078651015909,0.960193350414109
KASUR,PUNJAB,0.760191437732348,0.230226006857558,0.607381960153756,0.530264974931769,Vanguard,Vanguard,3,0.628486529588561,0.0335799869069926,0.764781828346641,0.980807614348497,0.934597122614317
LAHORE,PUNJAB,0.8466241059971,0.160688435450465,0.627977898906556,0.675514503609904,Vanguard,Vanguard,3,0.796190104293045,0.21127140927712,0.647476828221524,0.981010085935654,0.955637304281859
NANKANA SAHIB,PUNJAB,0.752660245890126,0.206974249995675,0.619346015353151,0.538461821847312,Vanguard,Vanguard,3,0.631203933444475,0.0187861916934119,0.728231810642731,0.980684818348208,0.902820745395941
SHEIKHUPURA,PUNJAB,0.782808924964312,0.14496659281625,0.655136061579567,0.575409002757779,Vanguard,Vanguard,3,0.688830140983719,0.04891493185248,0.719237577022018,0.983437278764791,0.960693456494623
KHANEWAL,PUNJAB,0.707675040249024,0.227957396726477,0.560610418797941,0.535231313422883,Vanguard,Vanguard,2,0.609673765587416,0.0804747547931689,0.744279836586021,0.96032276946233,0.877918114162783
LODHRAN,PUNJAB,0.597547550563641,0.259814569713761,0.483682618604145,0.493260990467031,Other,Vanguard,2,0.516811443804652,0.064102344477166,0.783450865591054,0.955006082762624,0.857660266900508
MULTAN,PUNJAB,0.692202539396966,0.210220079286128,0.505287276868284,0.586495795852392,Vanguard,Vanguard,2,0.614104945387603,0.177197186468897,0.707522642228492,0.974675989855504,0.896995911515447
VEHARI,PUNJAB,0.666598146651876,0.233744949965538,0.556526185722845,0.515711847152906,Other,Vanguard,2,0.590994337540479,0.0583223046790567,0.751504125103971,0.966394493182772,0.877374612364558
ATTOCK,PUNJAB,0.777303319965719,0.167482671245242,0.683434947424362,0.562233230658594,Vanguard,Vanguard,3,0.702241341285728,0.0267805279406284,0.626652482107246,0.960646715992463,0.926661073019694
JHELUM,PUNJAB,0.847148633369773,0.163233033622292,0.772286182196321,0.656947701725585,Vanguard,Vanguard,3,0.806511184885839,0.0424358686288559,0.589001984076218,0.980398491251353,0.925440051688611
OKARA,PUNJAB,0.7192793955529,0.225208450708893,0.574566751860787,0.512590116257895,Vanguard,Vanguard,2,0.602528344858317,0.046407099742511,0.758498356419751,0.973341167567725,0.892173163260109
PAKPATTAN,PUNJAB,0.687725767378595,0.28918527732608,0.5512384823079,0.491072219413931,Other,Vanguard,2,0.571253796106847,0.0350375156110177,0.803053227579522,0.966852031368816,0.856146929582697
SAHIWAL,PUNJAB,0.728954055736137,0.220851609699917,0.632921806327719,0.533347712526323,Vanguard,Vanguard,3,0.647707269773721,0.0228273853575352,0.733217469224349,0.964171999480526,0.889164050639714
BHAKKAR,PUNJAB,0.679466070962618,0.284719965900605,0.515022678772789,0.43563559038787,Other,Vanguard,2,0.556757030388534,0.0749597209156395,0.827373660030628,0.88641318051393,0.812943050196131
KHUSHAB,PUNJAB,0.718862269311802,0.259971492444788,0.616322868824527,0.501610318476748,Vanguard,Vanguard,2,0.625240080863751,0.0142620607861624,0.681462775760523,0.891121367356144,0.819571976287132
MIANWALI,PUNJAB,0.708754202106663,0.256066848705038,0.608861120107433,0.521471587377993,Vanguard,Vanguard,2,0.62868762021202,0.0315363297561052,0.694403900749034,0.914159121816568,0.874856161355745
SARGODHA,PUNJAB,0.78199603939272,0.221564544634645,0.616514129659345,0.539489970054953,Vanguard,Vanguard,3,0.667281830480415,0.0760813474937853,0.696951241989285,0.961518059507161,0.845556398240007
BADIN,SINDH,0.344161429346112,0.61905866594198,0.363773187294315,0.423533945063226,Anchor,Anchor,4,0.366470737982889,0.0073608897218437,0.887684070391157,0.400719290661788,0.321067023212329
DADU,SINDH,0.519058894379638,0.39674414695899,0.470158734001937,0.478613272279301,Other,Anchor,2,0.471272602325013,0.00236353294798219,0.872620809513215,0.619080626543817,0.80748140076541
HYDERABAD,SINDH,0.698506053262917,0.246810986363987,0.363466937793062,0.603557556764112,Vanguard,Vanguard,1,0.672080314501612,0.459191215766236,0.688195870529131,0.910953142744946,0.90186996169044
JAMSHORO,SINDH,0.517120633678201,0.422206694815247,0.478058536683245,0.497976906831552,Other,Anchor,2,0.496254726935546,0.0366670366339186,0.803147877958399,0.641857110069183,0.68830359777604
MATIARI,SINDH,0.480810688495123,0.452776217474378,0.446577722780374,0.461580233221344,Other,Anchor,4,0.458788110763443,0.0266144385536722,0.841750783342188,0.694755242548734,0.641947962615879
SUJAWAL,SINDH,0.168333351555618,0.656411608697608,0.270064627831202,0.33541534230994,Anchor,Anchor,4,0.270171177947133,0.000394380025068748,0.973996528480105,0.311298424968839,0.244973371775341
THATTA,SINDH,0.163606872482625,0.61110064407256,0.26538503774396,0.376060899547248,Anchor,Anchor,4,0.268780805735468,0.0126339676012818,0.896993716331234,0.447890903095023,0.30687384215478
KARACHI CENTRAL,SINDH,0.842366383711564,0.175122480345212,0.165470222314628,0.788133629875434,Vanguard,Vanguard,1,0.835533477868792,0.801958596875501,0.623029727316215,0.991204849616441,0.974116646296148
KARACHI EAST,SINDH,0.815757910491999,0.189671493852944,0.408536767192562,0.739930695605118,Vanguard,Vanguard,1,0.800681645371261,0.489763791196774,0.643808965384573,0.97817676667339,0.944195308080663
KARACHI SOUTH,SINDH,0.78435406881887,0.189588012728074,0.513021399310558,0.713734654060927,Vanguard,Vanguard,1,0.785656723197322,0.347015835080291,0.569862592786256,0.988122599054795,0.96558870647129
KARACHI WEST,SINDH,0.652443849062695,0.179954526482262,0.300722454200326,0.718559757120581,Other,Vanguard,1,0.674276019644824,0.55400689711799,0.665134761081768,0.959479813063199,0.954851578032344
KEAMARI,SINDH,0.610294823526903,0.20705282444837,0.483812863838689,0.628685049054542,Other,Vanguard,2,0.620705998979747,0.220544243758027,0.700314380285781,0.976212784492403,0.948032251089712
KORANGI,SINDH,0.788159975799064,0.167835382787514,0.235733449600923,0.7423580826688,Vanguard,Vanguard,1,0.798577112706513,0.704808157095834,0.703398382085862,0.989684616164689,0.973885001521144
MALIR,SINDH,0.621003016517496,0.250168557373364,0.531697118603075,0.613512822055081,Other,Vanguard,2,0.631398825104535,0.157906069091835,0.674149964852853,0.910745896076654,0.897419713069436
JACOBABAD,SINDH,0.380215641492201,0.525266520764769,0.422024352861868,0.393466023868984,Anchor,Anchor,4,0.423436653493827,0.00333532919341417,1.14831872267936,0.516641374784677,0.544710237060126
KAMBAR SHAHDAD KOT,SINDH,0.421482593544803,0.480357161239986,0.399725127190224,0.428272339071888,Anchor,Anchor,4,0.400208060258465,0.00120670500221471,1.00076207230838,0.431170646563485,0.581806221571053
KASHMORE,SINDH,0.270033563865506,0.540633008929107,0.355634452927547,0.314114586203209,Anchor,Anchor,4,0.355859107631759,0.000631302387360338,1.19996291667484,0.439509990712993,0.493116125882026
LARKANA,SINDH,0.597160276169335,0.302912178360869,0.555579511662662,0.505904348049788,Other,Vanguard,2,0.555843345629569,0.000474655258502185,0.868766121084992,0.688148466074494,0.82133437834341
SHIKARPUR,SINDH,0.374360920388081,0.38869483644359,0.435219063078396,0.391445595947624,Other,Anchor,4,0.437031397446055,0.00414692028593481,1.11073064748683,0.712988306706886,0.680552452239973
MIRPUR KHAS,SINDH,0.483014476162271,0.617865201131123,0.399594777039724,0.452133943320589,Other,Anchor,4,0.45371151809429,0.119275660626539,0.885250681883434,0.573881898870876,0.459375179720499
THARPARKAR,SINDH,0.356675722441532,0.62493520041531,0.363724158407599,0.363336016228687,Anchor,Anchor,4,0.363941320966964,0.000596696628973361,1.2341905514601,0.194090675979291,0.292908078538634
