"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","LIGHT_ELECT","LIGHT_SOLAR","LIGHT_OTHERS","FUEL_GAS","FUEL_LPGCNG","FUEL_FIREWOOD","FUEL_OTHERS","SEP_KITCHEN","NO_KITCHEN"
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","OVERALL",2907,334,2096,477,68,4,2566,269,1484,515
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","RURAL",2907,334,2096,477,68,4,2566,269,1484,515
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","OVERALL",5256,235,4511,510,20,24,5046,166,2940,1017
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","RURAL",5256,235,4511,510,20,24,5046,166,2940,1017
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","OVERALL",8290,5444,1912,934,79,13,7991,207,3016,1421
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","RURAL",8290,5444,1912,934,79,13,7991,207,3016,1421
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","OVERALL",24533,22571,778,1184,2785,3075,18441,232,15930,317
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","RURAL",10503,9424,545,534,218,520,9650,115,7088,146
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","URBAN",14030,13147,233,650,2567,2555,8791,117,8842,171
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","OVERALL",4420,3996,360,64,21,390,3994,15,3137,54
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","RURAL",1586,1257,281,48,4,360,1217,5,889,10
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","URBAN",2834,2739,79,16,17,30,2777,10,2248,44
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","OVERALL",5415,3665,789,961,50,901,4303,161,3396,560
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","RURAL",1789,94,739,956,11,2,1640,136,1238,533
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","URBAN",3626,3571,50,5,39,899,2663,25,2158,27
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","OVERALL",13708,9685,2295,1728,51,635,12639,383,8975,333
