"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","UNDER 5",43726,22653,21073,NA,41243,21391,19852,NA,2483,1262,1221,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","UNDER 10",84790,44269,40521,NA,79872,41744,38128,NA,4918,2525,2393,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","UNDER 15",114903,60522,54379,2,108135,56993,51140,2,6768,3529,3239,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","05 - 24",104439,55553,48880,6,97460,51895,45559,6,6979,3658,3321,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","15 - 49",77703,40167,37531,5,71426,36986,34436,4,6277,3181,3095,1,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","15 - 64",89503,46156,43341,6,82232,42470,39757,5,7271,3686,3584,1,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","18 - 60",75515,38504,37008,3,69440,35482,33956,2,6075,3022,3052,1,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","18 &  ABOVE",83683,42688,40992,3,77038,39382,37654,2,6645,3306,3338,1,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","60 &  ABOVE",8864,4549,4315,NA,8240,4238,4002,NA,624,311,313,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","65 &  ABOVE",5843,2946,2897,NA,5457,2763,2694,NA,386,183,203,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","ALL AGES",73326,36992,36331,3,73326,36992,36331,3,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","UNDER 1",1594,774,820,NA,1594,774,820,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","UNDER 5",13424,6615,6809,NA,13424,6615,6809,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","UNDER 10",26952,13455,13497,NA,26952,13455,13497,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","UNDER 15",37449,18741,18707,1,37449,18741,18707,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","05 - 24",38188,19180,19006,2,38188,19180,19006,2,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","15 - 49",30706,15315,15389,2,30706,15315,15389,2,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","15 - 64",34363,17358,17003,2,34363,17358,17003,2,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","18 - 60",29148,14684,14463,1,29148,14684,14463,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","18 &  ABOVE",31294,15959,15334,1,31294,15959,15334,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","60 &  ABOVE",2314,1367,947,NA,2314,1367,947,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","65 &  ABOVE",1514,893,621,NA,1514,893,621,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","ALL AGES",122763,63630,59132,1,102804,53418,49385,1,19959,10212,9747,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","UNDER 1",2819,1458,1361,NA,2428,1261,1167,NA,391,197,194,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","UNDER 5",23644,12304,11340,NA,20555,10713,9842,NA,3089,1591,1498,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","UNDER 10",45894,23848,22046,NA,39481,20562,18919,NA,6413,3286,3127,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","UNDER 15",62965,32636,30329,NA,53755,27909,25846,NA,9210,4727,4483,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","05 - 24",62497,31937,30559,1,52284,26763,25520,1,10213,5174,5039,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","15 - 49",51332,26159,25172,1,42137,21518,20618,1,9195,4641,4554,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","15 - 64",57330,29592,27737,1,47026,24342,22683,1,10304,5250,5054,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","18 - 60",47839,24678,23161,NA,39306,20335,18971,NA,8533,4343,4190,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","18 &  ABOVE",51385,26735,24650,NA,42211,22042,20169,NA,9174,4693,4481,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","60 &  ABOVE",3852,2227,1625,NA,3156,1845,1311,NA,696,382,314,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","65 &  ABOVE",2468,1402,1066,NA,2023,1167,856,NA,445,235,210,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","ALL AGES",30415,16526,13888,1,30415,16526,13888,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","UNDER 1",1338,710,628,NA,1338,710,628,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","UNDER 5",7196,3930,3266,NA,7196,3930,3266,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","UNDER 10",13125,7186,5939,NA,13125,7186,5939,NA,NA,NA,NA,NA,NA
