"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
"KPK","HAZARA","TORGHAR","KHANDER","TEHSIL","15 - 49",38685,19459,19225,1,38685,19459,19225,1,NA,NA,NA,NA,NA
"KPK","HAZARA","TORGHAR","KHANDER","TEHSIL","15 - 64",44728,22542,22185,1,44728,22542,22185,1,NA,NA,NA,NA,NA
"KPK","HAZARA","TORGHAR","KHANDER","TEHSIL","18 - 60",37621,18948,18672,1,37621,18948,18672,1,NA,NA,NA,NA,NA
"KPK","HAZARA","TORGHAR","KHANDER","TEHSIL","18 &  ABOVE",42490,21444,21045,1,42490,21444,21045,1,NA,NA,NA,NA,NA
"KPK","HAZARA","TORGHAR","KHANDER","TEHSIL","60 &  ABOVE",5307,2737,2570,NA,5307,2737,2570,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","TORGHAR","KHANDER","TEHSIL","65 &  ABOVE",3718,1932,1786,NA,3718,1932,1786,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","ALL AGES",195161,100319,94842,NA,195161,100319,94842,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","UNDER 1",4347,2276,2071,NA,4347,2276,2071,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","UNDER 5",25227,12996,12231,NA,25227,12996,12231,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","UNDER 10",44351,22657,21694,NA,44351,22657,21694,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","UNDER 15",62300,31943,30357,NA,62300,31943,30357,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","05 - 24",75095,38525,36570,NA,75095,38525,36570,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","15 - 49",101706,52098,49608,NA,101706,52098,49608,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","15 - 64",120557,61775,58782,NA,120557,61775,58782,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","18 - 60",105485,54019,51466,NA,105485,54019,51466,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","18 &  ABOVE",121689,62693,58996,NA,121689,62693,58996,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","60 &  ABOVE",17139,9216,7923,NA,17139,9216,7923,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER CHITRAL","MASTUJ","SUB-DIVISION","65 &  ABOVE",12304,6601,5703,NA,12304,6601,5703,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","ALL AGES",383541,191228,192308,5,336703,167402,169297,4,46838,23826,23011,1,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","UNDER 1",8242,4208,4034,NA,7258,3709,3549,NA,984,499,485,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","UNDER 5",70128,35951,34177,NA,62030,31795,30235,NA,8098,4156,3942,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","UNDER 10",135679,69638,66041,NA,120568,61911,58657,NA,15111,7727,7384,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","UNDER 15",188511,97447,91062,2,167301,86506,80794,1,21210,10941,10268,1,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","05 - 24",189047,96095,92948,4,167196,84950,82243,3,21851,11145,10705,1,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","15 - 49",161884,76275,85606,3,140721,65858,74860,3,21163,10417,10746,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","15 - 64",183261,87348,95910,3,159065,75285,83777,3,24196,12063,12133,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","18 - 60",154879,73143,81735,1,134305,62945,71359,1,20574,10198,10376,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","18 &  ABOVE",170492,81477,89014,1,147919,70137,77781,1,22573,11340,11233,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","60 &  ABOVE",17129,9154,7975,NA,14918,7890,7028,NA,2211,1264,947,NA,NA
"KPK","MALAKAND","UPPER DIR","DIR","SUB-DIVISION","65 &  ABOVE",11769,6433,5336,NA,10337,5611,4726,NA,1432,822,610,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","ALL AGES",119396,59975,59418,3,119396,59975,59418,3,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","UNDER 1",2771,1392,1379,NA,2771,1392,1379,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","UNDER 5",21935,11260,10675,NA,21935,11260,10675,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","UNDER 10",41992,21371,20621,NA,41992,21371,20621,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","UNDER 15",58180,29863,28316,1,58180,29863,28316,1,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","05 - 24",58750,29920,28828,2,58750,29920,28828,2,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","15 - 49",50974,24653,26320,1,50974,24653,26320,1,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","15 - 64",57560,28189,29369,2,57560,28189,29369,2,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","18 - 60",48518,23565,24952,1,48518,23565,24952,1,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","18 &  ABOVE",53364,26111,27251,2,53364,26111,27251,2,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","60 &  ABOVE",5258,2767,2490,1,5258,2767,2490,1,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","LARJUM","SUB-DIVISION","65 &  ABOVE",3656,1923,1733,NA,3656,1923,1733,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","ALL AGES",210356,105129,105227,NA,210356,105129,105227,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","UNDER 1",6474,3350,3124,NA,6474,3350,3124,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","UNDER 5",43774,22469,21305,NA,43774,22469,21305,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","UNDER 10",81247,41695,39552,NA,81247,41695,39552,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","UNDER 15",108658,55992,52666,NA,108658,55992,52666,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","05 - 24",101260,51143,50117,NA,101260,51143,50117,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","15 - 49",84028,40009,44019,NA,84028,40009,44019,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","15 - 64",94915,45583,49332,NA,94915,45583,49332,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","18 - 60",81190,38859,42331,NA,81190,38859,42331,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","18 &  ABOVE",89929,43344,46585,NA,89929,43344,46585,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","60 &  ABOVE",9530,4897,4633,NA,9530,4897,4633,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","SHARINGAL","SUB-DIVISION","65 &  ABOVE",6783,3554,3229,NA,6783,3554,3229,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","ALL AGES",369123,180407,188712,4,369123,180407,188712,4,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","UNDER 1",9875,5059,4816,NA,9875,5059,4816,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","UNDER 5",69156,35634,33522,NA,69156,35634,33522,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","UNDER 10",133296,68857,64439,NA,133296,68857,64439,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","UNDER 15",184710,95952,88756,2,184710,95952,88756,2,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","05 - 24",185305,93642,91659,4,185305,93642,91659,4,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","15 - 49",153110,68869,84239,2,153110,68869,84239,2,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","15 - 64",172988,78453,94533,2,172988,78453,94533,2,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","18 - 60",145360,64881,80478,1,145360,64881,80478,1,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","18 &  ABOVE",160408,72556,87851,1,160408,72556,87851,1,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","60 &  ABOVE",16649,8500,8149,NA,16649,8500,8149,NA,NA,NA,NA,NA,NA
"KPK","MALAKAND","UPPER DIR","WARI","SUB-DIVISION","65 &  ABOVE",11425,6002,5423,NA,11425,6002,5423,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","ALL AGES",133610,69555,64054,1,133610,69555,64054,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","UNDER 1",3432,1482,1950,NA,3432,1482,1950,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","UNDER 5",31104,16402,14702,NA,31104,16402,14702,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","UNDER 10",55299,29217,26082,NA,55299,29217,26082,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","UNDER 15",73351,38726,34625,NA,73351,38726,34625,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","05 - 24",67538,35128,32409,1,67538,35128,32409,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","15 - 49",53866,27144,26721,1,53866,27144,26721,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","15 - 64",58681,29840,28840,1,58681,29840,28840,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","18 - 60",48039,24422,23616,1,48039,24422,23616,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","18 &  ABOVE",50308,25812,24495,1,50308,25812,24495,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","60 &  ABOVE",2773,1686,1087,NA,2773,1686,1087,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","DASSU","SUB-DIVISION","65 &  ABOVE",1578,989,589,NA,1578,989,589,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","ALL AGES",44676,20708,23967,1,44676,20708,23967,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","UNDER 1",2295,959,1336,NA,2295,959,1336,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","UNDER 5",11865,5621,6244,NA,11865,5621,6244,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","UNDER 10",21056,9837,11219,NA,21056,9837,11219,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","UNDER 15",27020,12395,14625,NA,27020,12395,14625,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","05 - 24",22368,10148,12219,1,22368,10148,12219,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","15 - 49",15435,7197,8237,1,15435,7197,8237,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","15 - 64",16826,7887,8938,1,16826,7887,8938,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","18 - 60",14415,6781,7634,NA,14415,6781,7634,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","18 &  ABOVE",15494,7339,8155,NA,15494,7339,8155,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","60 &  ABOVE",1186,605,581,NA,1186,605,581,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","HARBAN BHASHA","TEHSIL","65 &  ABOVE",830,426,404,NA,830,426,404,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","ALL AGES",141271,75870,65400,1,141271,75870,65400,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","UNDER 1",4120,1909,2211,NA,4120,1909,2211,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","UNDER 5",32396,17680,14716,NA,32396,17680,14716,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","UNDER 10",59435,32604,26831,NA,59435,32604,26831,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","UNDER 15",79943,44337,35605,1,79943,44337,35605,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","05 - 24",71090,39159,31930,1,71090,39159,31930,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","15 - 49",53113,26725,26388,NA,53113,26725,26388,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","15 - 64",58915,29983,28932,NA,58915,29983,28932,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","18 - 60",48454,24017,24437,NA,48454,24017,24437,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","18 &  ABOVE",51779,26108,25671,NA,51779,26108,25671,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","60 &  ABOVE",3932,2445,1487,NA,3932,2445,1487,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","KANDIA","SUB-DIVISION","65 &  ABOVE",2413,1550,863,NA,2413,1550,863,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","ALL AGES",54626,26643,27982,1,54626,26643,27982,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","UNDER 1",1913,579,1334,NA,1913,579,1334,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","UNDER 5",13355,6498,6857,NA,13355,6498,6857,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","UNDER 10",23567,11397,12170,NA,23567,11397,12170,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","UNDER 15",30875,14912,15962,1,30875,14912,15962,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","05 - 24",26780,12823,13956,1,26780,12823,13956,1,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","15 - 49",20479,9915,10564,NA,20479,9915,10564,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","15 - 64",22750,11160,11590,NA,22750,11160,11590,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","18 - 60",18874,9308,9566,NA,18874,9308,9566,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","18 &  ABOVE",20272,10085,10187,NA,20272,10085,10187,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","60 &  ABOVE",1564,871,693,NA,1564,871,693,NA,NA,NA,NA,NA,NA
"KPK","HAZARA","UPPER KOHISTAN","SEO","SUB-DIVISION","65 &  ABOVE",1001,571,430,NA,1001,571,430,NA,NA,NA,NA,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","ALL AGES",479094,241706,237360,28,226155,114308,111842,5,252939,127398,125518,23,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","UNDER 1",8288,4108,4180,NA,4277,2149,2128,NA,4011,1959,2052,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","UNDER 5",56259,28224,28035,NA,28033,14069,13964,NA,28226,14155,14071,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","UNDER 10",109174,54907,54267,NA,52707,26572,26135,NA,56467,28335,28132,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","UNDER 15",162025,81349,80676,NA,76503,38346,38157,NA,85522,43003,42519,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","05 - 24",191932,96339,95585,8,89524,44877,44645,2,102408,51462,50940,6,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","15 - 49",249604,124623,124954,27,117059,58796,58258,5,132545,65827,66696,22,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","15 - 64",296296,149287,146981,28,139174,70336,68833,5,157122,78951,78148,23,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","18 - 60",258515,129731,128758,26,121451,61311,60136,4,137064,68420,68622,22,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","18 &  ABOVE",288646,145903,142716,27,136322,69324,66994,4,152324,76579,75722,23,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","60 &  ABOVE",33120,17728,15391,1,16354,8790,7564,NA,16766,8938,7827,1,NA
"PUNJAB","RAWALPINDI","ATTOCK","ATTOCK","TEHSIL","65 &  ABOVE",20773,11070,9703,NA,10478,5626,4852,NA,10295,5444,4851,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","ALL AGES",374726,189283,185426,17,293405,148263,145137,5,81321,41020,40289,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","UNDER 1",6295,3239,3056,NA,4838,2500,2338,NA,1457,739,718,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","UNDER 5",43356,21980,21376,NA,33418,16853,16565,NA,9938,5127,4811,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","UNDER 10",84285,42511,41774,NA,64969,32649,32320,NA,19316,9862,9454,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","UNDER 15",124395,62746,61649,NA,95143,47712,47431,NA,29252,15034,14218,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","05 - 24",145097,73163,71930,4,111387,56010,55376,1,33710,17153,16554,3,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","15 - 49",188187,93861,94312,14,147647,73938,73705,4,40540,19923,20607,10,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","15 - 64",228821,115169,113635,17,180362,91114,89243,5,48459,24055,24392,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","18 - 60",199545,99883,99645,17,157524,79223,78296,5,42021,20660,21349,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","18 &  ABOVE",229306,115806,113483,17,182082,92328,89749,5,47224,23478,23734,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","60 &  ABOVE",32295,17229,15066,NA,26555,14160,12395,NA,5740,3069,2671,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","FATEH JANG","TEHSIL","65 &  ABOVE",21510,11368,10142,NA,17900,9437,8463,NA,3610,1931,1679,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","ALL AGES",253435,128983,124439,13,184082,93489,90592,1,69353,35494,33847,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","UNDER 1",4687,2351,2336,NA,3532,1788,1744,NA,1155,563,592,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","UNDER 5",31316,15735,15581,NA,23166,11722,11444,NA,8150,4013,4137,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","UNDER 10",61389,30785,30604,NA,45358,22874,22484,NA,16031,7911,8120,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","UNDER 15",90911,45684,45227,NA,66740,33666,33074,NA,24171,12018,12153,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","05 - 24",105454,53537,51912,5,76024,38486,37537,1,29430,15051,14375,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","15 - 49",126356,63898,62446,12,90753,45638,45114,1,35603,18260,17332,11,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","15 - 64",151028,77037,73978,13,108545,54996,53548,1,42483,22041,20430,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","18 - 60",130434,66078,64343,13,94024,47388,46635,1,36410,18690,17708,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","18 &  ABOVE",147039,75255,71771,13,106566,54332,52233,1,40473,20923,19538,12,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","60 &  ABOVE",18029,9914,8115,NA,13610,7504,6106,NA,4419,2410,2009,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HASAN ABDAL","TEHSIL","65 &  ABOVE",11496,6262,5234,NA,8797,4827,3970,NA,2699,1435,1264,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","ALL AGES",386544,195013,191525,6,323572,163256,160314,2,62972,31757,31211,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","UNDER 1",6868,3497,3371,NA,5918,3010,2908,NA,950,487,463,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","UNDER 5",45130,22578,22552,NA,38251,19155,19096,NA,6879,3423,3456,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","UNDER 10",87196,43560,43636,NA,73639,36823,36816,NA,13557,6737,6820,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","UNDER 15",131073,66132,64940,1,110179,55576,54602,1,20894,10556,10338,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","05 - 24",159076,80572,78502,2,133206,67333,65871,2,25870,13239,12631,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","15 - 49",196446,97715,98726,5,164398,81771,82626,1,32048,15944,16100,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","15 - 64",235136,117919,117212,5,196476,98549,97926,1,38660,19370,19286,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","18 - 60",203317,101518,101795,4,169903,84942,84961,NA,33414,16576,16834,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","18 &  ABOVE",231471,116748,114719,4,193263,97577,95686,NA,38208,19171,19033,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","60 &  ABOVE",30921,16569,14352,NA,25675,13764,11911,NA,5246,2805,2441,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","HAZRO","TEHSIL","65 &  ABOVE",20335,10962,9373,NA,16917,9131,7786,NA,3418,1831,1587,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","JAND","TEHSIL","ALL AGES",330328,162882,167439,7,274074,135158,138913,3,56254,27724,28526,4,NA
"PUNJAB","RAWALPINDI","ATTOCK","JAND","TEHSIL","UNDER 1",4817,2425,2392,NA,3867,1967,1900,NA,950,458,492,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","JAND","TEHSIL","UNDER 5",33625,16872,16753,NA,27633,13883,13750,NA,5992,2989,3003,NA,NA
"PUNJAB","RAWALPINDI","ATTOCK","JAND","TEHSIL","UNDER 10",67180,33716,33464,NA,54916,27536,27380,NA,12264,6180,6084,NA,NA
