"PROVINCE","DISTRICT","AGE_GROUP","MARITAL_STATUS","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","BALOCHISTAN","25 - 29","DIVORCED",1062,684,378,0,703,460,243,0,359,224,135,0
"BALOCHISTAN","BALOCHISTAN","25 - 29","MARRIED",755463,397746,357717,0,530951,277412,253539,0,224512,120334,104178,0
"BALOCHISTAN","BALOCHISTAN","25 - 29","NEVER MARRIED",204987,81563,123348,76,117023,45471,71503,49,87964,36092,51845,27
"BALOCHISTAN","BALOCHISTAN","25 - 29","SEPERATION",656,257,399,0,511,200,311,0,145,57,88,0
"BALOCHISTAN","BALOCHISTAN","25 - 29","WIDOWED",3379,2107,1272,0,2480,1524,956,0,899,583,316,0
"BALOCHISTAN","BALOCHISTAN","30 - 34","DIVORCED",1203,802,401,0,794,527,267,0,409,275,134,0
"BALOCHISTAN","BALOCHISTAN","30 - 34","MARRIED",694373,359580,334793,0,479080,249237,229843,0,215293,110343,104950,0
"BALOCHISTAN","BALOCHISTAN","30 - 34","NEVER MARRIED",82408,37769,44589,50,46106,20321,25752,33,36302,17448,18837,17
"BALOCHISTAN","BALOCHISTAN","30 - 34","SEPERATION",738,309,429,0,564,230,334,0,174,79,95,0
"BALOCHISTAN","BALOCHISTAN","30 - 34","WIDOWED",4925,3416,1509,0,3525,2435,1090,0,1400,981,419,0
"BALOCHISTAN","BALOCHISTAN","35 - 39","DIVORCED",1141,761,380,0,753,497,256,0,388,264,124,0
"BALOCHISTAN","BALOCHISTAN","35 - 39","MARRIED",637881,314596,323285,0,437503,216631,220872,0,200378,97965,102413,0
"BALOCHISTAN","BALOCHISTAN","35 - 39","NEVER MARRIED",38143,13827,24275,41,21312,7555,13740,17,16831,6272,10535,24
