"","Region","Division","District","Households","Pop2023","AHS","Pop2017","GR"
"124","Balochistan","Rakhshan","Chagai",38234,269192,7.04,226517,2.93
"125","Balochistan","Rakhshan","Kharan",35879,260352,7.26,162766,8.17
"126","Balochistan","Rakhshan","Nushki",31268,207834,6.65,178947,2.53
"127","Balochistan","Rakhshan","Washuk",49080,302623,6.17,175712,9.51
"128","Balochistan","Sibi","Dera Bugti",62298,355274,5.7,313110,2.13
"129","Balochistan","Sibi","Harnai",16400,127571,7.78,97052,4.68
"130","Balochistan","Sibi","Kohlu",38115,260220,6.83,213933,3.33
"131","Balochistan","Sibi","Sibi",31303,224148,7.16,179751,3.76
"132","Balochistan","Sibi","Ziarat",22900,189535,8.28,160095,2.86
"133","Balochistan","Zhob","Killa Saifullah",70021,380200,5.43,342932,1.74
"134","Balochistan","Zhob","Sherani",36108,191687,5.31,152952,3.84
"135","Balochistan","Zhob","Zhob",47925,355692,7.42,310354,2.3
"136","ICT","ICT","ICT",411518,2363863,5.74,2003368,2.8
