...1,Region,Division,District,Households,Pop2023,AHS,Pop2017,GR,DistrictKey,Energy_LIGHT_ELECT,Energy_LIGHT_SOLAR,Energy_LIGHT_OTHERS,Energy_FUEL_GAS,Energy_FUEL_LPGCNG,Energy_FUEL_FIREWOOD,Energy_FUEL_OTHERS,Energy_SEP_KITCHEN,Energy_NO_KITCHEN,Energy_HOUSEHOLDS,San_TOILET_SEPARATE,San_TOILET_FLUSH,San_TOILET_NON_FLUSH,San_TOILET_NONE,San_WASHROOM_SEPARATE,San_WASHROOM_NONE,San_HOUSEHOLDS,Wtr_DRINK_WTR_IMPROVE,Wtr_DRINK_WTR_INSIDE,Wtr_DRINK_WTR_OUTSIDE,Wtr_DRINK_WTR_TAP,Wtr_DRINK_WTR_MOTOR,Wtr_DRINK_WTR_WELL,Wtr_DRINK_WTR_FILTER,Wtr_DRINK_WTR_BOTTLE,Wtr_DRINK_WTR_OTHER,Wtr_HOUSEHOLDS,Disab_Communication,Disab_Disability,Disab_Functional limitation,Disab_Hearing,Disab_Memorization/ Focus,Disab_Population,Disab_Seeing,Disab_Self care etc,Disab_Walking/ Climbing,Lang_BALOCHI,Lang_BALTI,Lang_BRAHVI,Lang_HINDKO,Lang_KALASHA,Lang_KASHMIRI,Lang_KOHIOSTANI,Lang_MEWATI,Lang_OTHERS,Lang_PUNJABI,Lang_PUSHTO,Lang_SARAIKI,Lang_SHINA,Lang_SINDHI,Lang_TOTAL,Lang_URDU,Ever Attended,Literate >=10,Out of School Children (5-16),Population >=10,Population >=5,Age_TotalPop,Age_Male,Age_Female,Age_Trans,Age_Rural,Age_Urban,Marital_DIVORCED,Marital_MARRIED,Marital_NEVER MARRIED,Marital_SEPERATION,Marital_WIDOWED,Energy_Access_Electricity,San_Access_SanitaryToilet,Wtr_Access_ImprovedDrink,Age_65_Plus,Age_15_29,LIAS_01,Inverse_Disability_01,FCI,CI
23,Punjab,Multan,Lodhran,324020,1928299,5.95,1699693,2.13,LODHRAN,309294,2589,11983,34907,6141,251882,30936,140788,139387,323866,206679,277767,7364,38735,192514,58458,323866,312562,251892,71974,52608,224694,2184,24451,2349,17580,323866,18350,42812,137118,30334,22998,1926357,26671,14342,45342,478,3,253,6482,12,566,6,42196,32535,293310,4919,1421611,2,500,1926357,123484,871116,716142,214246,1385693,1647480,1926357,996914,929326,117,1603155,323202,5100,781143,311001,2600,50159,0.955006082762624,0.8576602669005082,0.9650966757856645,NA,NA,0.06410234447716597,0,0.07407899151706776,0.03205117223858298
24,Punjab,Multan,Multan,887304,5362305,6.04,4746166,2.06,MULTAN,863945,5641,16806,407704,38414,414045,26229,476888,305646,886392,638044,795090,17900,73402,598038,127874,886392,867724,734931,151461,141742,631922,2529,86811,2995,20393,886392,59072,151125,535148,111168,81223,5340762,99718,58548,172293,6287,94,87,4563,10,1782,32,49954,24086,854421,36574,3412395,58,4051,5340762,946368,2839095,2421172,475376,3942603,4610487,5340762,2720277,2620078,407,2859260,2481502,14058,2186181,957437,7343,143991,0.9746759898555041,0.8969959115154469,0.9789393406077672,NA,NA,0.17719718646889712,0,0.049796252673760644,0.08859859323444856
25,Punjab,Multan,Vehari,543384,3430421,6.31,2902081,2.83,VEHARI,524787,4330,13919,77259,23952,407202,34623,292708,200961,543036,409222,476446,15065,51525,394473,69786,543036,528449,444737,98299,64148,408950,3123,51094,833,14888,543036,30316,80187,223914,48335,36584,3428191,41862,24726,72508,738,2,77,584,5,723,8,4038,14141,2540236,8002,655441,1,4255,3428191,199940,1732796,1470060,307383,2487435,2919141,3428191,1733665,1694087,439,2645727,782464,11297,1384160,597104,4878,92793,0.9663944931827724,0.8773746123645578,0.9731380608283797,NA,NA,0.05832230467905668,0,0.06103094454142999,0.02916115233952834
26,Punjab,Rawalpindi,Attock,354235,2170423,6.13,1886378,2.37,ATTOCK,340043,7536,6394,187997,11866,150967,3143,304829,23538,353973,309451,328013,8738,17222,301365,26586,353973,334155,278201,75772,68990,237318,27543,2572,361,17189,353973,26930,91912,220659,43115,34328,2133005,41161,25066,74888,1105,171,125,307305,20,4224,5798,100,17442,1391285,332481,8665,782,6379,2133005,57123,1350821,1165399,96795,1659542,1890704,2133005,1071693,1061231,81,1546356,586649,7726,930316,421244,1738,67697,0.9606467159924627,0.9266610730196936,0.944012678933139,NA,NA,0.026780527940628362,0,0.05622651068490159,0.013390263970314181
27,Punjab,Rawalpindi,Chakwal,288997,1734854,6,1495463,2.51,CHAKWAL,280118,4888,3832,88152,25539,170895,4252,255459,18369,288838,251659,264076,7848,16914,250944,18383,288838,275440,234788,54050,36486,225246,8457,1457,281,16911,288838,23386,86432,188201,35422,28921,1731689,33031,21596,64943,666,123,2,2541,3,1084,260,13,429,1593793,94711,5623,325,3439,1731689,28677,1182981,1037126,60787,1333288,1508682,1731689,862509,869091,89,1296931,434758,9917,740494,337740,2419,69423,0.9698100665424909,0.9142702829960047,0.9536141366440704,NA,NA,0.016560132910701634,0,0.05410183793914469,0.008280066455350817
28,Punjab,Rawalpindi,Jhelum,229227,1382308,6.03,1222403,2.08,JHELUM,224574,2391,2099,42313,67504,117362,1885,197967,14051,229064,196698,211985,4381,12698,196061,13729,229064,218939,178752,50312,45861,151613,12028,9233,145,10184,229064,18428,67316,129984,25103,21532,1366297,24452,15092,45571,603,140,11,1786,11,1746,343,33,44295,1213526,37268,3649,176,4730,1366297,57980,999332,872137,42117,1081370,1219023,1366297,695983,670216,98,837927,528370,7340,597017,283400,1769,51018,0.9803984912513534,0.9254400516886111,0.9557983794921944,NA,NA,0.04243586862885595,0,0.04612102585594702,0.021217934314427974
29,Punjab,Rawalpindi,Rawalpindi,999347,6118911,6.12,5402380,2.1,RAWALPINDI,982345,8865,6790,699289,73361,217507,7843,860367,43908,998000,871788,947903,26351,23746,828974,69238,998000,925431,608526,389474,295339,439923,65199,88040,6828,102671,998000,78289,267966,650571,126763,102401,6058540,119402,75631,220739,3911,7652,370,236986,208,89835,10921,522,382852,3596866,630908,40031,11101,17362,6058540,1029015,4432758,3909007,239415,4696941,5337821,6058540,3080830,2976366,1344,1907111,4151429,17404,2553432,1289310,5621,174094,0.984313627254509,0.9498026052104208,0.9272855711422846,NA,NA,0.16984537528843582,0,0.04619939879759516,0.08492268764421791
30,Punjab,Sahiwal,Okara,550057,3515490,6.39,3040826,2.45,OKARA,535069,4689,9966,199335,11496,276230,62663,283289,211468,549724,403059,490449,9222,50053,382472,75607,549724,539105,415744,133980,67009,407064,2761,58799,850,13241,549724,36554,87309,335509,72081,51192,3503451,63473,36469,106065,2175,211,18,535,28,228,31,17043,484,3298765,12389,1243,363,7353,3503451,162585,1847093,1533378,264889,2544906,2992955,3503451,1783966,1719150,335,2327975,1175476,15067,1405894,614571,6143,94811,0.9733411675677249,0.8921731632601088,0.9806830336678042,NA,NA,0.046407099742511025,0,0.05126754516812071,0.023203549871255513
31,Punjab,Sahiwal,Pakpattan,344744,2136170,6.2,1824228,2.67,PAKPATTAN,333125,2353,9068,32750,14721,224631,72444,125292,188915,344546,232682,294982,7892,41672,213160,67050,344546,330777,288629,55917,53087,260406,2639,13892,200,14322,344546,25843,67500,235050,49432,35769,2135511,45432,25607,76092,1449,0,0,25,0,44,1,521,10648,2037708,6963,367,0,2962,2135511,74823,1070376,869422,176009,1521954,1795762,2135511,1085000,1050351,160,1662991,472520,10062,834374,359705,4831,61393,0.9668520313688158,0.8561469295826972,0.9600372664317682,NA,NA,0.03503751561101769,0,0.07232125753890628,0.017518757805508847
32,Punjab,Sahiwal,Sahiwal,446787,2881811,6.45,2513011,2.31,SAHIWAL,430605,3891,12110,100975,23891,306549,15191,247218,161308,446606,343187,397106,8635,40865,330440,56506,446606,438237,335800,110806,50187,313235,1134,72027,323,9700,446606,38708,112197,376867,77300,55247,2878122,68930,43079,119297,530,42,7,119,0,75,0,47,1865,2790216,14073,729,3,4716,2878122,65700,1585191,1364032,209761,2105939,2454662,2878122,1458981,1418988,153,2124128,753994,10911,1153871,527636,4301,86359,0.9641719994805265,0.8891640506397137,0.9812608876728033,NA,NA,0.022827385357535226,0,0.05513435406898548,0.011413692678767613
