"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","OVERALL",24533,16746,21861,2199,473,17970,145
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","RURAL",10503,7162,9698,463,342,7859,96
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","URBAN",14030,9584,12163,1736,131,10111,49
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","OVERALL",4420,3283,3986,408,26,3265,16
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","RURAL",1586,946,1366,213,7,956,3
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","URBAN",2834,2337,2620,195,19,2309,13
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","OVERALL",5415,2364,3555,278,1582,3638,513
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","RURAL",1789,353,189,176,1424,1233,504
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","URBAN",3626,2011,3366,102,158,2405,9
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","OVERALL",13708,5639,8981,816,3911,9359,193
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","RURAL",6380,2458,2150,657,3573,5367,154
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","URBAN",7328,3181,6831,159,338,3992,39
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","OVERALL",2281,1937,1135,1003,143,2092,20
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","RURAL",2281,1937,1135,1003,143,2092,20
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","OVERALL",10170,3066,4327,1113,4730,3699,3574
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","RURAL",8051,2057,2366,971,4714,2704,3550
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","URBAN",2119,1009,1961,142,16,995,24
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","OVERALL",2212,704,640,124,1448,1558,226
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","RURAL",2212,704,640,124,1448,1558,226
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","OVERALL",4011,1879,2092,426,1493,2869,586
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","RURAL",1628,427,324,216,1088,998,493
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","URBAN",2383,1452,1768,210,405,1871,93
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","OVERALL",14259,5189,4072,3002,7185,4724,7942
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","RURAL",14259,5189,4072,3002,7185,4724,7942
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","OVERALL",37693,15567,20097,7195,10401,13455,13449
