District,Metric,Status
Abbottabad,Attendance_Flag,âœ“
Abbottabad,Energy_Flag_Elec,âœ“
Abbottabad,San_Flag,âœ“
Abbottabad,Wtr_Flag,âœ“
Batagram,Literacy_Flag,âœ“
Batagram,Attendance_Flag,âœ“
Batagram,Energy_Flag_Elec,âœ“
Batagram,San_Flag,âœ“
Batagram,Wtr_Flag,âœ“
Haripur,Literacy_Flag,âœ“
Haripur,Attendance_Flag,âœ“
Haripur,Energy_Flag_Elec,âœ“
Haripur,San_Flag,âœ“
Haripur,Wtr_Flag,âœ“
Kolai Palas Kohistan,Literacy_Flag,âœ“
Kolai Palas Kohistan,Attendance_Flag,âœ“
Kolai Palas Kohistan,Energy_Flag_Elec,âœ“
Kolai Palas Kohistan,San_Flag,âœ“
Kolai Palas Kohistan,Wtr_Flag,âœ“
Lower Kohistan,Literacy_Flag,âœ“
Lower Kohistan,Attendance_Flag,âœ“
Lower Kohistan,Energy_Flag_Elec,âœ“
Lower Kohistan,San_Flag,âœ“
Lower Kohistan,Wtr_Flag,âœ“
Mansehra,Literacy_Flag,âœ“
Mansehra,Attendance_Flag,âœ“
Mansehra,Energy_Flag_Elec,âœ“
Mansehra,San_Flag,âœ“
Mansehra,Wtr_Flag,âœ“
Torghar,Literacy_Flag,âœ“
Torghar,Attendance_Flag,âœ“
Torghar,Energy_Flag_Elec,âœ“
Torghar,San_Flag,âœ“
Torghar,Wtr_Flag,âœ“
Upper Kohistan,Literacy_Flag,âœ“
Upper Kohistan,Attendance_Flag,âœ“
Upper Kohistan,Energy_Flag_Elec,âœ“
Upper Kohistan,San_Flag,âœ“
Upper Kohistan,Wtr_Flag,âœ“
Hangu,Literacy_Flag,âœ“
Hangu,Attendance_Flag,âœ“
Hangu,Energy_Flag_Elec,âœ“
Hangu,San_Flag,âœ“
Hangu,Wtr_Flag,âœ“
Karak,Literacy_Flag,âœ“
Karak,Attendance_Flag,âœ“
Karak,Energy_Flag_Elec,âœ“
Karak,San_Flag,âœ“
Karak,Wtr_Flag,âœ“
Kohat,Literacy_Flag,âœ“
Kohat,Attendance_Flag,âœ“
Kohat,Energy_Flag_Elec,âœ“
Kohat,San_Flag,âœ“
Kohat,Wtr_Flag,âœ“
Kurram,Literacy_Flag,âœ“
Kurram,Attendance_Flag,âœ“
Kurram,Energy_Flag_Elec,âœ“
Kurram,San_Flag,âœ“
Kurram,Wtr_Flag,âœ“
Orakzai,Literacy_Flag,âœ“
Orakzai,Attendance_Flag,âœ“
Orakzai,Energy_Flag_Elec,âœ“
Orakzai,San_Flag,âœ“
Orakzai,Wtr_Flag,âœ“
Bajaur,Literacy_Flag,âœ“
Bajaur,Attendance_Flag,âœ“
Bajaur,Energy_Flag_Elec,âœ“
Bajaur,San_Flag,âœ“
Bajaur,Wtr_Flag,âœ“
Buner,Literacy_Flag,âœ“
Buner,Attendance_Flag,âœ“
Buner,Energy_Flag_Elec,âœ“
Buner,San_Flag,âœ“
Buner,Wtr_Flag,âœ“
Lower Chitral,Literacy_Flag,âœ“
Lower Chitral,Attendance_Flag,âœ“
Lower Chitral,Energy_Flag_Elec,âœ“
Lower Chitral,San_Flag,âœ“
Lower Chitral,Wtr_Flag,âœ“
Lower Dir,Literacy_Flag,âœ“
Lower Dir,Attendance_Flag,âœ“
Lower Dir,Energy_Flag_Elec,âœ“
Lower Dir,San_Flag,âœ“
Lower Dir,Wtr_Flag,âœ“
Malakand Protected Area,Literacy_Flag,âœ“
Malakand Protected Area,Attendance_Flag,âœ“
Malakand Protected Area,Energy_Flag_Elec,âœ“
Malakand Protected Area,San_Flag,âœ“
Malakand Protected Area,Wtr_Flag,âœ“
Shangla,Literacy_Flag,âœ“
Shangla,Attendance_Flag,âœ“
Shangla,Energy_Flag_Elec,âœ“
Shangla,San_Flag,âœ“
Shangla,Wtr_Flag,âœ“
Swat,Literacy_Flag,âœ“
Swat,Attendance_Flag,âœ“
Swat,Energy_Flag_Elec,âœ“
Swat,San_Flag,âœ“
Swat,Wtr_Flag,âœ“
Upper Chitral,Literacy_Flag,âœ“
Upper Chitral,Attendance_Flag,âœ“
Upper Chitral,Energy_Flag_Elec,âœ“
Upper Chitral,San_Flag,âœ“
Upper Chitral,Wtr_Flag,âœ“
Upper Dir,Literacy_Flag,âœ“
Upper Dir,Attendance_Flag,âœ“
Upper Dir,Energy_Flag_Elec,âœ“
Upper Dir,San_Flag,âœ“
Upper Dir,Wtr_Flag,âœ“
Mardan,Literacy_Flag,âœ“
Mardan,Attendance_Flag,âœ“
Mardan,Energy_Flag_Elec,âœ“
Mardan,San_Flag,âœ“
Mardan,Wtr_Flag,âœ“
Swabi,Literacy_Flag,âœ“
Swabi,Attendance_Flag,âœ“
Swabi,Energy_Flag_Elec,âœ“
Swabi,San_Flag,âœ“
Swabi,Wtr_Flag,âœ“
Charsadda,Literacy_Flag,âœ“
Charsadda,Attendance_Flag,âœ“
Charsadda,Energy_Flag_Elec,âœ“
Charsadda,San_Flag,âœ“
Charsadda,Wtr_Flag,âœ“
Khyber,Literacy_Flag,âœ“
Khyber,Attendance_Flag,âœ“
Khyber,Energy_Flag_Elec,âœ“
Khyber,San_Flag,âœ“
Khyber,Wtr_Flag,âœ“
Mohmand,Literacy_Flag,âœ“
Mohmand,Attendance_Flag,âœ“
Mohmand,Energy_Flag_Elec,âœ“
Mohmand,San_Flag,âœ“
Mohmand,Wtr_Flag,âœ“
Nowshera,Literacy_Flag,âœ“
Nowshera,Attendance_Flag,âœ“
Nowshera,Energy_Flag_Elec,âœ“
Nowshera,San_Flag,âœ“
Nowshera,Wtr_Flag,âœ“
Peshawar,Literacy_Flag,âœ“
Peshawar,Attendance_Flag,âœ“
Peshawar,Energy_Flag_Elec,âœ“
Peshawar,San_Flag,âœ“
Peshawar,Wtr_Flag,âœ“
Awaran,Literacy_Flag,âœ“
Awaran,Attendance_Flag,âœ“
Awaran,Energy_Flag_Elec,âœ“
Awaran,San_Flag,âœ“
Awaran,Wtr_Flag,âœ“
Kalat,Literacy_Flag,âœ“
Kalat,Attendance_Flag,âœ“
Kalat,Energy_Flag_Elec,âœ“
