"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","DRINK_WTR_IMPROVE","DRINK_WTR_INSIDE","DRINK_WTR_OUTSIDE","DRINK_WTR_TAP","DRINK_WTR_MOTOR","DRINK_WTR_WELL","DRINK_WTR_FILTER","DRINK_WTR_BOTTLE","DRINK_WTR_OTHER"
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","OVERALL",5256,3675,2308,2948,1372,1474,1896,NA,3,511
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","RURAL",5256,3675,2308,2948,1372,1474,1896,NA,3,511
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","OVERALL",8290,7204,5674,2616,5435,1404,778,3,4,666
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","RURAL",8290,7204,5674,2616,5435,1404,778,3,4,666
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","OVERALL",24533,23286,19225,5308,21034,369,501,11,47,2571
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","RURAL",10503,9892,6858,3645,9070,74,155,2,35,1167
"BALOCHISTAN","MEKRAN","GWADAR","GWADAR","SUB-DIVISION","URBAN",14030,13394,12367,1663,11964,295,346,9,12,1404
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","OVERALL",4420,4303,1724,2696,3874,54,264,NA,1,227
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","RURAL",1586,1499,726,860,1366,22,192,NA,1,5
"BALOCHISTAN","MEKRAN","GWADAR","JIWANI","TEHSIL","URBAN",2834,2804,998,1836,2508,32,72,NA,NA,222
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","OVERALL",5415,4073,3036,2379,2887,93,713,266,45,1411
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","RURAL",1789,616,184,1605,296,22,653,NA,20,798
"BALOCHISTAN","MEKRAN","GWADAR","ORMARA","TEHSIL","URBAN",3626,3457,2852,774,2591,71,60,266,25,613
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","OVERALL",13708,10837,7149,6559,7867,94,512,4,7,5224
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","RURAL",6380,3557,431,5949,959,21,298,3,NA,5099
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","URBAN",7328,7280,6718,610,6908,73,214,1,7,125
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","OVERALL",2281,1729,438,1843,1349,328,253,NA,4,347
